,CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
0,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,7,1,5,240,0,49,90,0.544,7,21,0.333,19,26,0.731,11,45,63,32,16,10,13,8,124,63.0,124.0,0,0.6532258064516129,29.0,2020-21,2021-05-16,0022001066,1,0,0.6944444444444444,0.4444444444444444,0.5694444444444444,18.666666666666668,0.5942314684951432,3.0
1,OPPONENTS, Rockets,1610612745,0,1,0,0,0,1,1,8,1,5,240,0,31,92,0.337,18,63,0.286,15,20,0.75,11,32,51,25,18,8,16,5,95,51.0,95.0,0,0.45901639344262296,-29.0,2020-21,2021-05-16,0022001066,0,1,0.25,0.2222222222222222,0.2361111111111111,-8.0,0.5599732064163582,2.0
2,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,9,1,5,240,0,41,94,0.436,14,36,0.389,20,24,0.833,12,37,58,19,16,9,7,4,116,58.0,116.0,0,0.5555555555555556,23.0,2020-21,2021-05-13,0022001049,1,0,0.6857142857142857,0.4444444444444444,0.5633802816901409,9.333333333333334,0.5714047872485603,1.0
3,OPPONENTS, Magic,1610612753,0,1,0,0,0,1,0,11,1,5,240,0,36,94,0.383,11,36,0.306,10,15,0.667,16,35,62,24,16,3,14,6,93,62.0,93.0,0,0.5172413793103449,-23.0,2020-21,2021-05-13,0022001049,0,1,0.3055555555555556,0.29411764705882354,0.3,-22.333333333333332,0.5028231498285946,2.0
4,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,5,1,5,240,0,44,86,0.512,10,33,0.303,22,28,0.786,7,44,56,22,21,4,14,5,120,56.0,120.0,0,0.5739130434782609,4.0,2020-21,2021-05-12,0022001042,1,0,0.6764705882352942,0.4444444444444444,0.5571428571428572,-0.6666666666666666,0.5894716345837003,2.0
5,OPPONENTS, Wizards,1610612764,0,1,0,0,0,1,0,9,1,5,240,0,45,101,0.446,10,29,0.345,16,19,0.842,9,33,51,29,20,10,7,1,116,51.0,116.0,0,0.578125,-4.0,2020-21,2021-05-12,0022001042,0,1,0.5,0.4166666666666667,0.45714285714285713,-1.3333333333333333,0.5766988153663116,2.0
6,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,5,1,5,240,0,46,96,0.479,10,30,0.333,23,26,0.885,13,42,60,23,17,4,12,6,125,60.0,125.0,0,0.5847457627118644,1.0,2020-21,2021-05-10,0022001026,1,0,0.6666666666666666,0.4444444444444444,0.5507246376811594,8.666666666666666,0.6405915291818558,4.0
7,OPPONENTS, Wizards,1610612764,0,1,0,0,0,1,0,2,1,5,240,0,51,100,0.51,13,26,0.5,9,11,0.818,8,34,44,28,21,8,9,8,124,44.0,124.0,0,0.6124031007751938,-1.0,2020-21,2021-05-10,0022001026,0,1,0.5,0.42857142857142855,0.463768115942029,0.6666666666666666,0.5677175161537131,2.0
8,Indiana,Pacers,1610612754,1,0,1,0,0,0,0,7,1,5,240,0,54,87,0.621,8,20,0.4,17,19,0.895,4,32,43,35,19,11,15,4,133,43.0,133.0,0,0.6691729323308271,7.0,2020-21,2021-05-06,0022001000,1,0,0.375,0.5588235294117647,0.4696969696969697,-5.666666666666667,0.5895087160949445,1.0
9,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,7,1,5,240,0,48,94,0.511,15,37,0.405,15,18,0.833,10,24,41,27,17,8,12,6,126,41.0,126.0,0,0.6097560975609756,-7.0,2020-21,2021-05-06,0022001000,0,1,0.65625,0.4444444444444444,0.5441176470588235,11.333333333333334,0.6533265481686114,1.0
